radius_m,viscosity_pa_s,radius_normalized_0p5_1p0,radius_normalized_0p55_1p0,radius_normalized_1p22_2p22,viscosity_scaled_by_min
4429300.0,4.735e+22,0.6640657439446367,0.697659169550173,1.5481314878892733,100.08454872120059
4406700.0,4.801e+22,0.6601557093425605,0.6941401384083046,1.5403114186851212,101.47960262101036
4384100.0,4.868e+22,0.6562456747404845,0.690621107266436,1.5324913494809689,102.89579370112027
4361500.0,4.938e+22,0.6523356401384083,0.6871020761245675,1.5246712802768165,104.37539632213063
4339000.0,5.009e+22,0.6484429065743944,0.683598615916955,1.516885813148789,105.87613612344114
4316400.0,5.083e+22,0.6445328719723183,0.6800795847750866,1.5090657439446367,107.44028746565208
4293800.0,5.159e+22,0.6406228373702423,0.676560553633218,1.5012456747404845,109.04671316846333
4271200.0,5.236e+22,0.6367128027681661,0.6730415224913495,1.4934256055363322,110.67427605157472
4248700.0,5.316e+22,0.6328200692041522,0.669538062283737,1.4856401384083044,112.36525047558655
4226100.0,5.397e+22,0.6289100346020762,0.6660190311418686,1.4778200692041523,114.07736207989853
4203500.0,5.479e+22,0.625,0.6625,1.47,115.81061086451068
4180899.999999999,5.564e+22,0.6210899653979237,0.6589809688581314,1.4621799307958474,117.60727119002325
4158300.0,5.649e+22,0.6171799307958478,0.655461937716263,1.4543598615916955,119.40393151553583
4135800.0,5.736e+22,0.6132871972318339,0.6519584775086505,1.4465743944636678,121.2428662016487
4113200.0,5.823e+22,0.6093771626297578,0.6484394463667821,1.4387543252595156,123.08180088776157
4090600.0,5.912e+22,0.6054671280276817,0.6449204152249135,1.4309342560553633,124.96300993447475
4068000.0,6.002e+22,0.6015570934256056,0.641401384083045,1.4231141868512112,126.86535616148807
4045500.0,6.093e+22,0.5976643598615917,0.6378979238754325,1.4153287197231834,128.78883956880154
4022900.0,6.185e+22,0.5937543252595155,0.6343788927335641,1.407508650519031,130.73346015641513
4000300.0,6.279e+22,0.5898442906574395,0.6308598615916955,1.399688581314879,132.72035510462905
3977700.0,6.374e+22,0.5859342560553633,0.627340830449827,1.3918685121107266,134.7283872331431
3955100.0,6.471e+22,0.5820242214532871,0.6238217993079586,1.3840484429065745,136.77869372225746
3932600.0,6.568e+22,0.5781314878892734,0.6203183391003461,1.3762629757785467,138.8290002113718
3910000.0,6.666e+22,0.5742214532871972,0.6167993079584775,1.3684429065743946,140.9004438807863
3887400.0,6.763e+22,0.5703114186851211,0.613280276816609,1.3606228373702423,142.95075036990065
3864800.0,6.86e+22,0.566401384083045,0.6097612456747405,1.35280276816609,145.00105685901502
3842200.0,6.955e+22,0.5624913494809689,0.606242214532872,1.3449826989619378,147.00908898752905
3819700.0,7.048e+22,0.558598615916955,0.6027387543252596,1.33719723183391,148.97484675544283
3797100.0,7.137e+22,0.5546885813148789,0.599219723183391,1.3293771626297577,150.856055802156
3774500.0,7.221e+22,0.5507785467128028,0.5957006920415225,1.3215570934256056,152.6315789473684
3751900.0,7.297e+22,0.5468685121107266,0.592181660899654,1.3137370242214532,154.23800465017968
3729400.0,7.359e+22,0.5429757785467129,0.5886782006920416,1.3059515570934257,155.54850982878884
3706800.0,7.401e+22,0.5390657439446367,0.585159169550173,1.2981314878892733,156.43627140139506
3684200.0,7.41e+22,0.5351557093425605,0.5816401384083045,1.290311418685121,156.6265060240964
3661600.0,7.363e+22,0.5312456747404845,0.5781211072664361,1.2824913494809689,155.6330585499894
3639000.0,7.229e+22,0.5273356401384083,0.5746020761245675,1.2746712802768165,152.80067638976962
3616500.0,6.953e+22,0.5234429065743944,0.5710986159169551,1.266885813148789,146.96681462692877
3593900.0,6.471e+22,0.5195328719723183,0.5675795847750865,1.2590657439446367,136.77869372225746
3571300.0,5.696e+22,0.5156228373702422,0.564060553633218,1.2512456747404843,120.39737898964277
3548700.0,4.625e+22,0.5117128027681661,0.5605415224913495,1.2434256055363322,97.75945888818433
3526200.0,3.314e+22,0.5078200692041522,0.5570380622837371,1.2356401384083044,70.04861551469034
3503600.0,2.128e+22,0.5039100346020762,0.5535190311418685,1.2278200692041523,44.97991967871486
3481000.0,1.25e+22,0.5,0.55,1.22,26.421475375184947
